IMPHY_ID,Phytochemical_Name,SMILES,RO5_Status
IMPHY004506,Ergosterol peroxide,O[C@H]1CC[C@]2([C@@]3(C1)OO[C@@]1([C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C=C3)C,Failed (1 violation)
IMPHY004619,Quercetin,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,Passed
IMPHY004624,2-Acetyl-1-pyrroline,CC(=O)C1=NCCC1,Passed
IMPHY004634,Myristoleic acid,CCCC/C=CCCCCCCCC(=O)O,Passed
IMPHY004703,D-Erythronolactone,O[C@@H]1[C@H](O)COC1=O,Passed
IMPHY004950,"[(3S,9S,13R)-9-ethyl-4,4,13,14-tetramethyl-17-(6-methylhept-5-en-2-yl)-2,3,5,6,7,8,10,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",COc1cc(/C=C/C(=O)O[C@H]2CCC3C(C2(C)C)CCC2[C@@]3(CC)CC[C@]3(C2(C)CCC3C(CCC=C(C)C)C)C)ccc1O,Failed (2 violations)
IMPHY005283,1-Tetratriacontanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,Failed (1 violation)
IMPHY005307,"(2|A,6|A,9|A)-2-hydroxy-6,18-epoxypimara-7,15-dien-18-one",C=C[C@]1(C)CC[C@@H]2C(=C[C@@H]3[C@@H]4[C@]2(C)C[C@H](O)C[C@@]4(C(=O)O3)C)C1,Passed
IMPHY005386,Myrtillin,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(cc3[o+]c2c2cc(O)c(c(c2)O)O)O)[C@@H]([C@H]([C@@H]1O)O)O.[Cl-],Failed (3 violations)
IMPHY005439,"(4S,5R)-4-hydroxy-5-(hydroxymethyl)dihydrofuran-2(3H)-one",OC[C@H]1OC(=O)C[C@@H]1O,Passed
IMPHY005544,Biotin,OC(=O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,Passed
IMPHY006035,Phenyl isothiocyanate,S=C=Nc1ccccc1,Passed
IMPHY006257,Gamma-oryzanol,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C(C2(C)C)CCC2[C@@]4(C3)CC[C@]3([C@@]2(C)CC[C@@H]3C(CCC=C(C)C)C)C)ccc1O,Failed (2 violations)
IMPHY006290,"6-Chromanol, 2,8-dimethyl-2-(4,8,12-trimethyltridecyl)-",CC(CCCC1(C)CCc2c(O1)c(C)cc(c2)O)CCCC(CCCC(C)C)C,Failed (1 violation)
IMPHY006331,Choline chloride,OCC[N+](C)(C)C.[Cl-],Passed
IMPHY006359,"L-Rhamnono-1,4-lactone",C[C@@H]([C@@H]1OC(=O)[C@@H]([C@@H]1O)O)O,Passed
IMPHY006424,Pheophytin A,COC(=O)[C@H]1C(=O)C2=C(C)/C/3=C/c4[nH]c(c(c4CC)C)/C=c/4[nH]/c(=CC5=N/C(=C/1C2=N3)/[C@@H](CCC(=O)OC/C=C(/CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C)[C@@H]5C)/c(C)c4C=C,Failed (2 violations)
